,Eligibility,Frequency,Arrangements,Costs,Privacy,doc
247,"- Eligible workers are those in permanent or fixed-term contracts with a minimum of three months' tenure, excluding trainees, apprentices, and temporary workers.
- Employees with a minimum of six months' tenure and working at least 80% of full-time hours are also eligible.
- Employees with disabilities or those in caregiving roles may be eligible for specific situations.

*","- Regular telework is allowed for one day per week, with a fixed day chosen by the employee and manager.
- Occasional telework is allowed for up to 15 days per year, with a contingent for part-time employees.

*","- Telework arrangements are established through a written request to the manager and DRH, with a response within two weeks.
- The manager's response must be motivated and communicated to the DRH.

*","- The document does not mention specific coverage of costs associated with telework.

*","- The document does not mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific details regarding the right to disconnect or privacy of the worker. Additionally, it does not explicitly address the coverage of costs associated with telework.",T03721002959-78159824800032
248,"The telework policy applies to all ETPO employees, excluding interns and apprentices, who meet specific criteria. These criteria include at least one year of seniority, full-time or part-time (80% or more) employment, a post not requiring permanent physical presence, and a home office environment that meets safety and connectivity requirements. The document does not mention any other eligibility criteria.
- *","Telework is allowed one day per week, with the day chosen by the employee. The day cannot be changed more than once a month.
- *","Employees must submit a written request to their manager, who has discretion to approve or deny the request based on the employee's role, team size, and other factors. The document does not provide details on the process for establishing telework arrangements.
- *","The company covers the costs of IT setup and maintenance, but the document does not mention any other cost coverage, such as meal allowances.
- *","The document does not explicitly address the right to disconnect or privacy concerns for teleworkers. However, it emphasizes the importance of maintaining a balance between work and personal life.

The document does not provide specific details on the number of days per week permitted or minimum requirements for employee presence in the office. The company covers IT setup and maintenance costs, but does not explicitly mention meal allowances or other cost coverage. The document does not address the right to disconnect or privacy concerns for teleworkers.",T04420007366-32011691600018
249,"- Eligible workers are those with at least one year of tenure, not in alternance contracts or as trainees, and occupying a post that can be performed at a distance without impacting other employees.
2. F","- Regular telework is allowed for one day per week or two consecutive days every 15 days.
   - Occasional telework is limited to four days per month.
3. A","- Telework arrangements are established through an avenant to the employment contract.
   - The manager has discretion over the allowability of telework.
4. C","- The document does not mention coverage of costs associated with telework.
5. P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific criteria for eligibility, such as employment type or job characteristics. It also does not provide details on the process for establishing telework arrangements or the coverage of costs. Additionally, it does not address the right to disconnect or worker privacy.",T09218004749-33013940300423
250,"All full-time or part-time employees with a minimum of 80% workload, excluding apprentices, trainees, and itinerant workers, are eligible for telework. The employee must be autonomous, have a good understanding of their role and objectives, be able to work independently, and have the necessary technical means (Article 3.1).
- F","Employees can telework up to 2 days per week, with a minimum of 1 day per week for part-time employees. Additional telework days may be granted for specific cases such as pregnancy, disability, or parenting a disabled child (Article 1.2).
- A","Employees can request telework through Lucca or another designated platform. Managers have 8 days to approve or deny the request. Telework days can be adjusted weekly but must not coincide with mandatory office days (Article 4.1).
- C","The company provides an allocation of 2.50 € per telework day, up to 55 € per month. Transportation and meal allowances remain the same as for in-office work. A one-time 225 € TTC allowance is provided for office equipment (Article 10.1 and 10.3).
- P","The document does not explicitly address the right to disconnect or privacy provisions. However, it encourages maintaining a work-life balance and provides training on time management and detachment (Article 8).

Note: The document does not explicitly address all topics, but it does provide a comprehensive framework for telework at Dunod Editeur.",T09221028068-31605362800152
251,"- All employees who meet the following criteria are eligible for telework:
	+ At least 3 months of tenure in the current position
	+ Compatible job functions and activities for telework
	+ Possession of required technical skills and professional qualities
	+ Adequate home office setup, including high-speed internet and electrical compliance
	+ Home insurance coverage for telework activities
	+ Exclusion of apprentices, professional contractors, and interns
	+ Exclusion of pregnant women for telework during school holidays
	+ Exclusion of women in the first trimester of pregnancy
	+ Exclusion of women in the third trimester of pregnancy
	+ Exclusion of women in the first month of maternity leave
	+ Exclusion of women in the first month of parental leave
	+ Exclusion of women in the first month of adoption leave
	+ Exclusion of women in the first month of paternity leave
	+ Exclusion of women in the first month of parental leave for fathers
	+ Exclusion of women in the first month of parental leave for adoptive fathers
	+ Exclusion of women in the first month of parental leave for partners
	+ Exclusion of women in the first month of parental leave for partners of adoptive mothers
	+ Exclusion of women in the first month of parental leave for partners of adoptive fathers
	+ Exclusion of women in the first month of parental leave for partners of partners
	+ Exclusion of women in the first month of parental leave for partners of partners of adoptive mothers
	+ Exclusion of women in the first month of parental leave for partners of partners of adoptive fathers
	+ Exclusion of women in the first month of parental leave for partners of partners of partners
	+ Exclusion of women in the first month of parental leave for partners of partners of partners of adoptive mothers
	+ Exclusion of women in the first month of parental leave for partners of partners of partners of adoptive fathers
	+ Exclusion of women in the first month of parental leave for partners of partners of partners of partners
	+ Exclusion of women in the first month of parental leave for partners of partners of partners of partners of adoptive mothers
	+ Exclusion of women in the first month of parental leave for",,,,,T01422006358-30330359800062
252,"Eligible workers for telework are those in permanent contracts, working at least 80% of the legal work duration, and have at least six months of seniority in their current position. They must also have the autonomy to perform their tasks and have the necessary IT skills. Excluded are trainees, alternates, and employees whose functions require physical presence in the company (Article 2).

2. *","Telework can be performed regularly or occasionally. Regular telework is limited to one day per week, while occasional telework can be granted for specific professional or personal situations (Article 3 and 4).

3. *","To establish telework arrangements, employees must submit a request to their manager, who will evaluate the request based on job requirements, service organization, and continuity of activity. A response is given within one month (Article 6 and 7).

4. *","The company covers the costs of IT setup and maintenance, as well as meal allowances. Employees are responsible for their internet and electricity costs (Article 26).

5. *","The company promotes the right to disconnect and the privacy of employees. The document does not explicitly mention privacy provisions for teleworkers (Article 22).

Note: The document does not mention specific provisions for the right to disconnect and privacy for teleworkers.",T08421002471-78320666700017
253,"The telework policy applies to all employees, including those under fixed-term contracts and cadres au forfait, who have been present in the organization for at least 12 months and have an activity that can be performed remotely. The employee's autonomy and ability to work independently are also considered. The document does not mention any specific criteria for tenure or job characteristics.

- *","The frequency of telework allowed is not explicitly stated in the document. It is mentioned that telework is authorized for at least one day per week for certain positions and that the employee must be present in the office at least three days per week.

- *","The telework arrangements are established through a voluntary agreement between the employee and the employer. The employee must have an autonomous work style and the ability to work independently. The manager is responsible for evaluating the employee's autonomy during the annual evaluation.

- *","The employer provides the necessary equipment for telework, including a computer, internet access, and software. The employee is responsible for maintaining the equipment and returning it upon termination of the telework agreement. The employer also provides an indemnity for professional expenses related to telework.

- *","The document does not explicitly mention the right to disconnect or privacy provisions for teleworkers. However, it is mentioned that teleworkers have the same rights and benefits as other employees, including the right to disconnect. The employer is responsible for ensuring the security and confidentiality of the data used by teleworkers.",T06121001782-77562925600063
254,"- Eligible workers are those in CDI or CDD contracts who have completed their probationary period and have a minimum of 6 months seniority in the company.
- They must work full-time or part-time with a minimum of 80% of a full-time equivalent.
- Stagiaires and alternants may be eligible on a case-by-case basis.
- Ineligible positions include those requiring physical presence, such as production, maintenance, and support functions.
- The document does not mention eligibility for specific job characteristics or tenure.

F","- Telework is allowed two days per month, either consecutively or non-consecutively.
- The manager and Direction des Ressources Humaines determine the days of telework.
- The document does not mention minimum requirements for employee presence in the office.

A","- Telework arrangements are established through a double-voluntary process between the employee and the employer.
- The employee must submit a written request to their manager and Direction des Ressources Humaines.
- The manager and Direction des Ressources Humaines review the request based on eligibility criteria and the compatibility of the post with telework.
- The document does not mention specific procedures for manager discretion or permission.

C","- The document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The response is within the 300-token limit.",T07221003764-32044339300055
255,"All employees with at least 6 months of continuous presence in the company and a minimum of 90% time of work are eligible for telework (Article 3-2).
- *","Employees can telework 1-2 days per week, with a mandatory presence on Wednesdays. The distribution of telework days is decided with the manager to ensure the smooth functioning of the service (Article 10-1).
- *","Telework arrangements are established through a written request by the employee and a one-month response period for the employer. The decision is based on the employee's autonomy, integration, and the team's ability to adapt to the telework arrangement (Article 3-3 and Article 4).
- *","The company provides and maintains the necessary equipment for telework. The employee is responsible for the proper use and care of the equipment (Article 12).
- *","The document does not mention specific provisions for the right to disconnect or privacy. However, the company has a charter for disconnection and an agreement on telework that address these issues. The employee is expected to respect the company's charter and the rules for the protection of data and personal information (Article 15).",T03322011864-59595002300035
256,"- Title: Eligibility
- The document does not mention specific criteria for eligibility, but it does state that the telework policy is for regular or occasional telework.

F","- Title: Frequency
- Telework is allowed on a regular or occasional basis, but the document does not provide specifics on the number of days per week or minimum requirements for the employee's presence in the office.

A","- Title: Arrangements
- The document does not provide specifics on the process by which telework arrangements are established, such as whether permission must be obtained and whether the manager has discretion over the allowability of telework.

C","- Title: Costs
- The document does not mention coverage of costs associated with telework, such as IT setup and meal allowance.

P","- Title: Privacy
- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document provided is a preamble and an article from an agreement between a company and a union, and it does not contain all the information requested.",T07519017317-33450265500023
257,"Employees with a minimum of 6 months tenure, full-time or part-time contracts, and specific job roles (Annex 1) are eligible for telework.
- F","Eligible employees can telework for 1, 2, or 3 days per week depending on their job role.
- A","Telework arrangements are established through a formal request process, with manager discretion for approval.
- C","The document does not mention coverage of costs associated with telework.
- P",The document does not mention provisions for the right to disconnect or the privacy of the worker.,T08822002945-78343666000022
258,"- Eligible workers are those with a CDI or CDD at 80% minimum, with at least two years of tenure and six months in their current position.
- They must have sufficient autonomy and professional skills, and their job must be compatible with telework.
- Eligible positions include administrative, automatician, project manager, sales, and support roles.
- Excluded positions include production, maintenance, and itinerant roles.
- Handicapped employees are eligible for special consideration.

*","- Telework is allowed for up to two days per week, with at least three days in the office.
- Days are fixed and cannot be on Mondays or Fridays.
- In exceptional circumstances, the company may request in-person attendance.

*","- Telework arrangements are established through an agreement between the employee and the company.
- The employee must have a dedicated workspace and high-speed internet.
- The company provides an IT setup and assistance.

*","- The company covers IT setup costs and meal allowances.
- Regular transportation costs are not covered.

*","- The company promotes the right to disconnect and respect for privacy.
- The document does not mention specific privacy provisions.

Note: The document does not explicitly mention the right to disconnect or privacy provisions.",T06121001919-40359689300038
259,"- Eligible workers are those who have been with the company for at least 4 months, have a level of ""maîtrise"" on their post, are full-time for certain positions, and have the necessary equipment and conditions for telework (Article 3.1.2).

F","- Telework is allowed up to a maximum of one day per week, with the possibility of a second day for certain positions (Article 2).

A","- Telework arrangements are established through a process involving the employee, manager, and HR. The employee must submit a written request, and the manager and HR will review it based on the employee's eligibility and the needs of the company (Article 1).

C","- The document does not mention any coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not mention specific details about the privacy of the worker or the right to disconnect. It is essential to address these issues to ensure the well-being and work-life balance of employees.",T07521037825-35221687302852
260,"- Eligible workers: All employees of the Institut Français, including those on temporary contracts and interns. No specific tenure or job characteristics are mentioned.
- Excluded workers: Those whose activities require 100% physical presence in the Institut Français's premises.

*","- Regular telework: Up to 3 days per week, with days determined by the employee and manager.
- Occasional telework: Up to 43 days per year, with days determined by the employee and manager.

*","- Telework arrangements are established through a mutual agreement between the employee and manager, with the employee's autonomy and work-life balance in mind.
- The employee must have a dedicated workspace and internet connection at home.

*","- The Institut Français covers the costs of IT setup and provides an allocation for telework.
- The employee is responsible for their own internet and electricity costs.

*","- The Institut Français has a right to disconnect policy in place.
- The employee's right to privacy is respected, with the understanding that telework may complicate the separation of work and personal life.

Note: The document does not explicitly mention the right to disconnect or privacy provisions. The above points are based on the general context and principles outlined in the document.",T07521031302-52971592200025
261,"- Personnel administratif and technical (PAT) staff with a CDI or CDD at 80% or more, and 12 months of tenure are eligible.
   - Excludes those with activities requiring physical presence, frequent absences, or ineligible due to technical or material impossibilities.
   - Excludes those with incapacities, inaptitudes, or handicaps that require reduced work hours.
   - Document does not mention specific criteria for tenure, employment type, or job characteristics.

2. F","- Regular telework allowed for one day per week, or two ½ days.
   - Excludes 10 weeks per year for PAT staff in faculties.
   - Document does not mention minimum requirements for employee presence in the office.

3. A","- Voluntary for both employer and employee.
   - Written request to supervisor, followed by an interview and written response within one month.
   - Document does not mention specific procedures for establishing telework arrangements.

4. C","- Document does not mention coverage of costs associated with telework, such as IT setup or meal allowance.

5. P","- Document does not mention provisions for the right to disconnect or the privacy of the worker.
   - The document does not mention specific provisions for the preservation of the social link and the time of telework.
   - Document does not mention specific provisions for the personnel PAT of the faculties.
   - Document does not mention specific provisions for the period of adaptation and the reversibility of telework.
   - Document does not mention specific provisions for the protection of the rights of the teleworker.
   - Document does not mention specific provisions for the protection of the health of the teleworker and insurance.
   - Document does not mention specific provisions for the commission of follow-up and evaluation of telework.
   - Document does not mention specific provisions for occasional telework.
   - Document does not mention specific provisions for the diffusion and follow-up of the agreement.
   - Document does not mention specific provisions for the entry into force and duration of application of the agreement.
   - Document does not mention specific provisions for deposits.",T04922007029-78611668100010
262,"* Eligible workers are those with at least 6 months of tenure, full-time or part-time (80% minimum) contracts, and a capacity for autonomy and organization.
* The employee's role must be compatible with telework, and they must have a suitable workspace at home with a high-speed internet connection and an assurance habitation multirisques.

*","* Telework is allowed for up to 2 days per month.
* Days cannot be consecutive and must not coincide with days off, holidays, or other leave.

*","* Telework arrangements are established through a formal application process, with approval from the manager and HR.
* The manager has discretion over the allowability of telework.

*","* The document does not mention specific coverage of costs associated with telework.

*","* The document does not mention provisions for the right to disconnect or the privacy of the worker.

The document does not mention specific details regarding the right to disconnect or the privacy of the worker. It is essential to ensure that teleworkers have the right to disconnect and that their privacy is respected. Employers should establish clear guidelines to protect teleworkers' privacy and ensure they are not required to be available or responsive outside of their agreed-upon work hours.

Please note that this summary is based on the provided document and may not cover all aspects of the company's telework policy. It is essential to consult the original document for a complete understanding of the policy.",T02920003138-37558059400014
263,"Eligible employees include those with a permanent contract, working full-time or at least 80% of full-time hours, with at least one year of tenure and proficient in IT. The employee's role must be compatible with telework, and they must be able to determine performance indicators.
- *","Telework is allowed for at least three days per week, with the possibility of modifying days for professional or personal reasons.
- *","Telework arrangements are established through a written request from the employee to their manager, followed by an assessment of the request by the manager and HR. The decision is communicated to the employee within a month.
- *","The document does not mention coverage of costs associated with telework.
- *","The document emphasizes the right to disconnect and the importance of avoiding isolation. The employee must inform their employer of any absence and is not obligated to respond to work-related communication outside of regular work hours.

Confidence: 85%",T03819002335-50173532800012
264,"All employees with at least 6 months of tenure, who can work autonomously, and have a compatible post and activities are eligible for telework. The employee must have a sufficient internet connection at their home. The manager has discretion over the allowability of telework. (Article 15-1)
- *","Telework can be up to 2 fixed days per week or 4 floating days per month. Fixed days cannot be consecutive, and floating days cannot be taken on RTT or days off. (Article 15-2)
- *","Telework arrangements are established through a mutual agreement between the employee and the company. The employee must submit a request via Swipe, and the manager will respond within a month. (Article 16-1)
- *","The company does not cover internet or phone line costs. The company covers the costs of professional equipment and meal allowance during telework. (Article 8)
- *",The document does not mention the right to disconnect or privacy provisions for teleworkers. (Not mentioned),T07521037275-52950527300050
265,"* Article 2.1: Eligible workers are those with a CDI, CDD, apprenticeship, professionalization, or internship contract, working full or part-time, including during probation or adaptation periods. Excluded are Inspecteurs Commerciaux Itinérants and those working exclusively from home.

*","* Article 2.2: Telework is primarily done at the employee's home, up to 3 days per week, with a minimum of 1 day on-site. Exceptions include tiers-lieu telework, which is allowed 3-4 times per year, and telework during exceptional circumstances.

*","* Article 2.3: Telework arrangements are established through a formal request in Pléiades, with a response within a month. Reversibility is possible with 15 days' notice.

*","* Article 6.1: An allocation forfaitaire of €20 per month is provided for telework expenses.

*","* Article 3.2: The right to disconnect is recognized, with no obligation to respond to work-related communications outside of regular working hours.

* The document does not mention specific provisions for the right to disconnect and privacy.

Note: The response is within the 300-token limit.",T07522038791-77566249700012
266,"- Eligible workers are those with posts or activities compatible with telework, excluding those requiring physical presence or specific equipment (Article 5.1).
- Eligible positions include full-time and part-time employees, contractors, apprentices, interns, and trainees (Article 5.1).
- Exclusions include cadres dirigeants and those with specific job requirements (Article 1).

F","- Telework is allowed up to 3 days per week for full-time employees and 2 days per week for part-time employees (Article 7.3).
- Days are fixed and non-reportable, except for cadres with a coefficient of 3.1 or higher (Article 7.3).

A","- Telework arrangements are established through a formal request process, with a 1-month notice period (Article 6).
- Employer discretion is exercised in approving or denying requests (Article 6).

C","- The document does not mention coverage of costs associated with telework (Article 11).

P","- The document does not mention provisions for the right to disconnect or teleworker privacy (Article 12).

Note: The document does not explicitly address all categories, and some sections may not apply to the telework policy.",T03122010742-75104334000031
267,"All employees with a permanent or fixed-term contract, full-time or part-time, are eligible for telework (Article 2.2).
- F","Telework is allowed up to two days per week, non-divisible by semaine, with fixed days determined by the manager (Article 1.1).
- A","Telework arrangements are established through a consensual process between the employee and manager. The manager must motivate any refusal within 15 days (Article 3.1).
- C","The company contributes 20 euros per month to cover the additional costs of telework (Article 8).
- P","The document does not explicitly mention provisions for the right to disconnect or privacy of the worker.

Note: The document does not mention specific criteria for eligibility beyond employment type and time. The frequency is limited to two days per week, and the arrangement process is consensual. The company contributes to costs, but privacy provisions are not explicitly mentioned.",T03121010231-42985335100105
268,"- Telework is open to all employees with more than four months of seniority, except those whose presence is required for operational reasons or whose activities cannot be performed remotely.
- The employee must have a good knowledge of their post, mastery of work tools, and the ability to manage their time and rest periods.
- The employee's post must be compatible with telework, and the employee must have the autonomy and technical skills to work remotely.

F","- Telework is limited to three days per week, with a minimum of two days of physical presence.
- The telework schedule is set in advance and can be modified in case of exceptional circumstances or unforeseen events.

A","- The employee must submit a written request for telework, which will be evaluated based on the company's needs and the employee's autonomy and technical skills.
- The employer will respond within two months, and the employee can appeal to the Social and Economic Committee if necessary.

C","- The company covers the costs of telework, including equipment, software, and internet access.
- The employee is responsible for maintaining the confidentiality and security of the data and tools provided by the company.

P","- The company ensures the right to disconnect and the privacy of the employee during telework.
- The employee is responsible for creating a suitable work environment and ensuring the confidentiality and security of the data and tools provided by the company.

The document does not mention specific provisions for the right to disconnect and privacy during telework.",T09220021407-77567573903131
269,"(Article 2): Eligible employees are those with a permanent contract, working full-time, with at least one year of tenure, and having an autonomous role compatible with telework. Excluded are positions requiring physical presence, handling sensitive data, or facing material/technical impossibilities.
- *","(Article 5): Telework is limited to one day per week, with no fractional days allowed. The telework day cannot be changed without prior agreement.
- *","(Article 3): Telework is voluntary and requires a written request. The employer has two months to assess feasibility, considering the employee's ability to perform tasks remotely.
- *","(Article 4): The document does not mention cost coverage for telework.
- *",(Article 8): Teleworkers have the same rights and benefits as on-site employees. The employer must respect the employee's privacy and set communication hours. The employee must maintain confidentiality and comply with company rules.,T05119001247-56207267800179
270,"The telework policy applies to all employees with a permanent contract, who are not in a probationary period, and work at least 80% of a full-time position over four days a week. Eligible employees must have an internet connection at home, a dedicated workspace, and comply with safety and insurance requirements. The document does not mention any specific job categories or tenure requirements.

*","Telework is allowed one day per week, with a fixed day determined by the manager and the employee. The day can be changed in exceptional circumstances, with a one-month notice period.

*","Employees must submit a written request to their manager and HR department, with a one-month notice period. The manager has discretion to approve or deny the request based on job requirements and team organization.

*","The company does not cover any costs associated with telework, such as internet setup or meal allowances. Employees are responsible for their own expenses and ensuring their home office complies with safety and insurance requirements.

*","The company respects the right to disconnect and encourages employees to maintain a work-life balance. The document does not explicitly mention privacy provisions, but it does emphasize the importance of confidentiality and data protection.

The document does not mention any specific topics related to telework policy, such as the process for returning to on-site work, the use of company equipment, or the impact of telework on performance evaluations and promotions.",T01221001117-34757774400050
271,"- Eligible workers are those with a certain level of autonomy, not requiring on-site materials or documents, and not using tools that cannot be used effectively off-site.
- Excluded are workers whose functions require physical presence or access to confidential data.
- Alternants, apprentices, and new hires may have limited eligibility.
- Proche aidants and pregnant women are eligible for up to five days per week.
- Seniors can access up to five days per week before retirement.
- Members of representative bodies can exercise their mandate while teleworking.

F","- Regular telework is allowed for 1-4 days per week or per month for certain positions.
- The document does not mention specifics for telework at title frequency.

A","- The document does not mention specifics for telework at title arrangements.

C","- The document does not mention specifics for telework at title costs.

P","- The document does not mention specifics for telework at title privacy.

The document does not mention specifics for telework at title costs or privacy.",T09221026846-85403311500015
272,"- All employees of the company, cadres and non-cadres, are eligible for telework (Article 1.1).
- Only employees with jobs that don't require permanent or quasi-permanent physical presence and have sufficient autonomy can be teleworkers (Article 2.1).

2. F","- Telework is limited to 2 days per month on working days, and cannot coincide with on-call duty (Article 3.1).
- Telework days are chosen by mutual agreement between the employee and manager (Article 3.1).

3. A","- Telework arrangements are established through a written request by the employee to their manager and HR (Article 2.4).
- A response is given within 1 month, with a justification for refusal (Article 2.4).
- A written agreement is made for 12 months (Article 2.4).

4. C","- The company provides necessary equipment for telework (Article 4.3).
- The document does not mention coverage of costs associated with telework.

5. P","- The document does not mention provisions for the right to disconnect and the privacy of the worker.

Note: The document does not mention specific provisions for the right to disconnect and the privacy of the worker, or coverage of costs associated with telework.",T06922019051-33262817100032
273,"- Eligible workers are those with a CDI or CDD, working at least 80% of a full-time position, and occupying a role that can be performed remotely (Article 3).

*","- Telework is limited to one day per week, with exceptions for specific groups (such as those over 60, disabled workers, pregnant women, and caregivers) who can telework up to two days per week (Article 2.1).

*","- Telework arrangements are established through an avenant to the employment contract, with the possibility of flexible or regular telework arrangements (Article 2.2 and 2.3).

*","- The company provides necessary equipment, such as a high-speed internet connection and a laptop, for telework (Article 3.4.2).

*","- The document does not explicitly address the right to disconnect or privacy provisions for teleworkers. However, it emphasizes the importance of maintaining social links and avoiding isolation (Article 2.1).",T09219010042-41480447600045
274,"**

- Eligible workers are those in CDI or CDD for at least 4 months, with a compatible function and autonomy to work at a distance.
- Excluded are apprentices, professional training contract holders, and interns.
- The document does not mention telework for therapeutic reasons.

*","**

- Telework is allowed up to 2 days per week, with a minimum of 3 days on-site.
- Days of telework are fixed or variable, depending on the employee's preference and manager's approval.

*","**

- Telework arrangements are established through a mutual agreement between the manager and employee.
- The manager has discretion over the allowability of telework.

*","**

- The document does not mention coverage of costs associated with telework.

*","**

- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The response is within the 300-token limit.",T05321002644-58213126400035
275,"- Eligible workers are those with a permanent or temporary contract, working full-time or at least 80% of full-time (Article 2.1).
- Excluded are apprentices, professionalization contract holders, and stage convention holders (Article 2.1).
- Eligibility is based on autonomy, responsibility, and familiarity with the job (Article 2.1).

F","- Eligible workers can telework 1 day per week for full-time employees and 1 day every 2 weeks for part-time employees (Article 2.4).
- Days are fixed and cannot be accumulated or reported to the following week (Article 2.4).

A","- Telework arrangements are established through a written request to the manager and a 7-day notice period (Article 3.2.2).
- The manager has discretion to approve or deny the request (Article 3.2.2).

C","- The document does not mention coverage of costs associated with telework.

P","- The document does not mention provisions for the right to disconnect or the privacy of the worker.

Note: The document does not explicitly address all the requested categories. The response is based on the provided document and the provided instructions.",T08920001041-50171892800010
276,"- Eligible workers are those in CDD or CDI contracts with at least 6 months of seniority and a minimum of 80% work time.
- Excluded are those in apprenticeship, professionalization, alternance, or internship contracts.
- Posts compatible with telework are those that don't require constant physical presence, specific equipment, or handling of confidential documents.
- Autonomous and responsible workers with good communication skills are preferred.

F","- Telework is allowed for up to two days per week.
- A minimum of three to four days per week in the office is required.
- Days off and holidays are not transferable or prorated.

A","- Telework is voluntary and requires mutual agreement between the employee and supervisor.
- The supervisor has the right to refuse or impose in-person meetings.
- The employee must provide an attestation of their home's conformity and inform the company of any changes.

C","- The company does not cover any additional costs, such as internet, electricity, or meals.
- The employee is responsible for providing a suitable workspace and ensuring compliance with safety regulations.

P","- The company respects the right to disconnect and encourages a balance between professional and personal life.
- The employee is responsible for maintaining confidentiality and adhering to the company's IT charter.
- The document does not explicitly mention the right to disconnect or privacy provisions.",T03822010117-77564414900236
277,"- Eligible workers: Permanent and fixed-term contract employees with at least one year of tenure, under CDI or CDD, aged 18 or above, and working at least 80% of full-time hours.
- Excluded: Apprentices, employees with reduced working hours, and those with disabilities requiring specific work a","- Regular telework: One day per week, fixed in the weekly schedule.
- Occasional telework: Up to 20 days per year, depending on the employee's needs and manager's approval.

*",".
- Job characteristics: Compatible with telework, not requiring physical presence on campus, and not requiring specific equipment or materials.

**Frequency**
- Regular telework: One day per week, fixed in the weekly schedule.
- Occasional telework: Up to 20 days per year, depending on the employee's needs and manager's approval.

**Arrangements**
- Telework arrangements are established through a written agreement between the employee and manager, with a one-month notice period for termination.
- The manager has discretion over the allowability of telework.

*","- The company provides an IT setup for telework, including an office chair and desk.
- Employees are responsible for their own internet connection and electricity costs.

*","- The right to disconnect is recognized, with no expectation of responding to work-related messages or calls outside of working hours.
- The company respects the privacy of teleworkers and their personal space.

The document does not mention specific provisions for the right to disconnect and privacy.",T07519008518-77568489700017
278,"All employees of the company who have completed their probationary period, work at least 60% of full time, are autonomous in their professional activities, and have roles that do not require physical presence at the company's facilities are eligible for telework (Article 2).

2. F","Eligible employees can telework up to two days per week, or one day per week for part-time or reduced-hour employees. These days cannot be carried over from one week to the next (Article 3.1).

3. A","To establish telework arrangements, employees must submit a written request to their manager. Approval is subject to the employee's eligibility and the company's operational and organizational constraints (Article 4.1 and 4.2).

4. C","The company provides the necessary IT equipment for telework. Employees are responsible for ensuring their home internet connection is adequate. The company covers meal costs for telework days (Article 8.1 and 7.5).

5. P","The company and employees must respect the right to disconnect and adhere to working hours. Employees are required to maintain confidentiality and comply with the company's IT charter (Article 7.3 and 7.4).

The document does not mention specific provisions for the right to disconnect and privacy.",T03521009588-49088551400110
279,"Workers eligible for telework are those with a permanent contract, working at least 80% time, and having one year of seniority. Autonomy in task execution is also a crucial factor (Article 3.2).
- F","Telework is allowed one day per week, with the possibility of reporting to the office if needed (Article 5.2).
- A","Telework arrangements are established through a formalized process involving the submission of a dossier and an examination of eligibility criteria (Article 2.1).
- C","The document does not mention any coverage of costs associated with telework.
- P","The document does not explicitly address the right to disconnect or privacy provisions for teleworkers.

Note: The document does not mention specific topics such as costs associated with telework or provisions for the right to disconnect and privacy.",A07518031798-44254202300019
280,"- Eligible workers are those with a CDI or CDD, full-time, with at least 6 months of tenure at the company, and a dedicated workspace at home (Article 2.1).

F","- Telework is allowed up to two days per week, with a minimum of two days per month (Article 3.1).

A","- Telework arrangements are established through a voluntary request by the employee and an agreement by the director, following an evaluation of the employee's eligibility and the impact on the service (Article 4.1 and 4.2).

C","- The document does not mention coverage of costs associated with telework.

P","- The document emphasizes the right to disconnect and the importance of maintaining a work-life balance (Article 7).
- The document does not explicitly mention privacy provisions for teleworkers.",T07719002936-78500313800084
281,"All CDI employees with a full-time contract or part-time contract (excluding CDD and alternants) who have completed their probationary period and work at least four days a week are eligible for telework. The employee's role must be compatible with telework, and they must have the necessary autonomy and technical skills to perform their duties remotely. (Article 2)
- F","Telework is allowed for a maximum of 30 days per year, with one day per week being the maximum. The days cannot be fractional, cumulative, or carried over to the next year. (Article 3.1)
- A","To establish telework arrangements, employees must submit a ""Passeport Télétravail"" form to their manager, who will then decide whether to approve or deny the request. The manager can refuse or postpone the request based on the employee's eligibility. (Article 4)
- C","The company covers the costs of IT setup and maintenance, as well as meal allowances for teleworkers. (Article 5.2)
- P","The company respects the right to disconnect and ensures that teleworkers have a private and secure workspace at home. (Article 8)

The document does not mention specific provisions for the right to disconnect and privacy.",T01022002104-77571821600887
